id,tipo,titulo,alias,sigla,catId,catTitle,parentCatId,parentCatTitle,path
9042,Estatísticas,PIA-Empresa#pia1,pesquisa-industrial-anual,PIA-Empresa,2016,NP-Pesquisa Industrial Anual - Empresa,1917,NP-Indústrias extrativas,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/np-pesquisa-industrial-anual
9044,Estatísticas,PIA-Produto#pia2,pesquisa-industrial-anual-produto,PIA-Produto,2896,NP-Pesquisa Industrial Anual - Produto,1917,NP-Indústrias extrativas,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/pesquisa-industrial-anual-produto
9294,Estatísticas,PIM-PF Brasil#pimpf1,pesquisa-industrial-mensal-producao-fisica-brasil,PIM-PF,2209,NP-Pesquisa Industrial Mensal - Produção Física,1917,NP-Indústrias extrativas,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/np-pesquisa-industrial-mensal-producao-fisica-brasil
9296,Estatísticas,PIM-PF Regional#pimpf2,pesquisa-industrial-mensal-producao-fisica-regional,PIM-PF,2209,NP-Pesquisa Industrial Mensal - Produção Física,1917,NP-Indústrias extrativas,novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/np-pesquisa-industrial-mensal-producao-fisica-brasil
19877,Estatísticas,POF 2002-2003 #POF2,2002-2003,POF,2004,NP-Pesquisa de Orçamentos Familiares,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/pesquisa-de-orcamentos-familiares
9050,Estatísticas,POF 2008-2009 #POF1,pesquisa-de-orcamentos-familiares,POF,2004,NP-Pesquisa de Orçamentos Familiares,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/pesquisa-de-orcamentos-familiares
24786,Estatísticas,POF 2017-2018 #POF,pesquisa-de-orcamentos-familiares-2,POF,2004,NP-Pesquisa de Orçamentos Familiares,1883,NP-Saúde,novo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/pesquisa-de-orcamentos-familiares
9292,Estatísticas,População jovem no Brasil,populacao-jovem-no-brasil,,2084,NP-População jovem no Brasil,1869,NP-Grupos populacionais específicos,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/grupos-populacionais-especificos/np-populacao-jovem
32982,Estatísticas,Preço do leite cru pago ao produtor#3leite,preco-do-leite-cru-pago-ao-produtor-3leite,,2219,NP-Pesquisa Trimestral do Leite,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-trimestral-do-leite
9102,Estatísticas,"Previsão e Acompanhamento de Safras nos Estados de São Paulo, Paraná e Santa Catarina e no Distrito Federal: Safras 1986/1987 a 1999/2000",previsao-e-acompanhamento-de-safras-nos-estados-de-sao-paulo-parana-e-santa-catarina-e-no-distrito-federal-safras-1986-1987-a-1999-2000,,2039,"NP-Previsão e Acompanhamento de Safras nos Estados de São Paulo, Paraná e Santa Catarina e no Distrito Federal: Safras 1986/1987 a 1999/2000",1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-previsao-e-acompanhamento-de-safras-nos-estados-de-sao-paulo-parana-e-santa-catarina-e-no-distrito-federal-safras-1986-1987-a-1999-2000
21119,Estatísticas,Primeiros resultados#1abate,primeiros-resultados-2abate,,2220,NP-Pesquisa Trimestral do Abate de Animais,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisas-trimestrais-do-abate-de-animais
21122,Estatísticas,Primeiros resultados#1couro,primeiros-resultados-1couro,,2218,NP-Pesquisa Trimestral do Couro,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-trimestral-do-couro
21121,Estatísticas,Primeiros resultados#1leite,primeiros-resultadios-2leite,,2219,NP-Pesquisa Trimestral do Leite,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-trimestral-do-leite
21120,Estatísticas,Primeiros resultados#1ovos,primeiros-resultados-1ovos,POG,2072,NP-Produção de Ovos de Galinha,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-estatistica-da-producao-pecuaria
9105,Estatísticas,Produção da Extração Vegetal e da Silvicultura,producao-da-extracao-vegetal-e-da-silvicultura,PEVS,2040,NP-Produção da Extração Vegetal e da Silvicultura,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-producao-da-extracao-vegetal-e-da-silvicultura
9088,Estatísticas,Produto Interno Bruto dos Municípios,produto-interno-bruto-dos-municipios,,2036,NP-Produto Interno Bruto dos Municípios,1906,NP-Contas nacionais,novo-portal/estatisticas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/np-produto-interno-bruto-dos-municipios
19068,Estatísticas,Prognóstico da Safra,prognostico-da-safra,,2804,NP-Prognóstico da Safra,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-prognostico-da-safra
9286,Estatísticas,Programa de Comparação Internacional,programa-de-comparacao-internacional,PCI,2083,NP-Programa de Comparação Internacional,1929,NP-Preços e custos,novo-portal/estatisticas/estatisticas-economicas/precos-e-custos/np-programa-de-comparacao-internacional-na-america-do-sul
9109,Estatísticas,Projeções da População,projecao-da-populacao,,2042,NP-Projeções da População,1865,NP-Características gerais da população,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/np-projecao-da-populacao
9159,Estatísticas,Reflexões sobre os Deslocamentos Populacionais no Brasil,reflexoes-sobre-os-deslocamentos-populacionais-no-brasil,,2065,NP-Reflexões sobre os Deslocamentos Populacionais no Brasil,1866,NP-Componentes da dinâmica demográfica e estatísticas vitais,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/reflexoes-sobre-os-deslocamentos-populacionais-no-brasil
20886,Estatísticas,Reformulação das Pesquisas Agropecuárias do IBGE,reformulacao-das-pesquisas-agropecuarias-do-ibge,,2891,NP-Reformulação das Pesquisas Agropecuárias do IBGE,2890,NP-Outros documentos,novo-portal/estatisticas/metodos-e-classificacoes/np-outros-documentos-tecnicos/np-reformulacao-das-pesquisas-agropecuarias-do-ibge
21089,Estatísticas,Reformulação das Pesquisas Domiciliares Amostrais do IBGE,reformulacao-das-pesquisas-domiciliares-amostrais-do-ibge,,2898,NP-Reformulação das Pesquisas Domiciliares Amostrais do IBGE,2890,NP-Outros documentos,novo-portal/estatisticas/metodos-e-classificacoes/np-outros-documentos-tecnicos/reformulacao-das-pesquisas-domiciliares-amostrais-do-ibge
19884,Estatísticas,Regionalização das transações do setor público#estatisticasdefinançaspublicas3,regionalizacao-das-transacoes-do-setor-publico-estatisticasdefinancaspublicas3,,2034,NP-Estatísticas de Finanças Públicas e Conta Intermediária de Governo,1906,NP-Contas nacionais,novo-portal/estatisticas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/np-conta-intermediaria-do-governo
37734,Estatísticas,Relação da População dos Municípios para publicação no TCU em 2023,relacao-da-populacao-dos-municipios-para-publicacao-no-tcu,,3072,NP-Relação da População dos Municípios enviada ao TCU em 2023,1865,NP-Características gerais da população,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/np-relacao-da-populacao-dos-municipios-enviada-ao-tcu-em-2023
9232,Estatísticas,Relações entre as Alterações Históricas na Dinâmica Demográfica Brasileira e os Impactos Decorrentes do Processo de Envelhecimento da População,relacoes-entre-as-alteracoes-historicas-na-dinamica-demografica-brasileira-e-os-impactos-decorrentes-do-processo-de-envelhecimento-da-populacao,,2078,NP-Relações entre as Alterações Históricas na Dinâmica Demográfica Brasileira e os Impactos Decorrentes do Processo de Envelhecimento da População,1866,NP-Componentes da dinâmica demográfica e estatísticas vitais,novo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/np-relacoes-entre-as-alteracoes-historicas-na-dinamica-demografica-brasileira-e-os-impactos-decorrentes-do-processo-de-envelhecimento-da-populacao
9203,Estatísticas,Resultados completos#2abate,pesquisas-trimestrais-do-abate-de-animais,,2220,NP-Pesquisa Trimestral do Abate de Animais,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisas-trimestrais-do-abate-de-animais
9214,Estatísticas,Resultados completos#2couro,pesquisa-trimestral-do-couro,,2218,NP-Pesquisa Trimestral do Couro,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-trimestral-do-couro
9209,Estatísticas,Resultados completos#2leite,pesquisa-trimestral-do-leite,,2219,NP-Pesquisa Trimestral do Leite,1915,"NP-Agricultura, pecuária, produção florestal, pesca e aquicultura",novo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/np-pesquisa-trimestral-do-leite
